,ticket_id,fault_time,ticket_fm_nonfm,ticket_rca_result_dtl_code,root_cause_code,ticket_rca_type,ticket_type,root_cause_domain,root_cause_type,root_cause_instlocationa,root_cause_checka,root_cause_officea,root_cause_portz,root_cause_checkz,transcircuitseq,root_cause_equip_typez,root_cause_instlocationz,root_cause_sysnamez,root_cause_equip_typea,root_cause_sysnamea,root_cause_porta,root_cause_officez,ntt_label
12709,8699416,2021-06-14 15:28,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
12710,8699453,2021-06-14 15:30,FM,고객 장비 전원 입력 장애,UNI,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,False,4690495,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,S5-P1,0,NTT
12711,8699484,2021-06-14 15:31,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
12712,8699484,2021-06-14 15:31,nonFM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,True,0,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,PSUA,0,NTT
12713,8699522,2021-06-14 15:32,FM,고객 장비 전원 입력 장애,UNI,0,RT,PTN_TO_TF,PowerFail,GGPTB3035    ,True,R00553,0,False,4690495,0,0,0,PTNTFM1010,GG해군복지800군사우체국-PTS-0101-01-01,S5-P2,0,NTT
12714,8703924,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBUSB0002    ,True,R02494,0,True,4724200,0,CBUSP0267    ,CB소이우체국-PTS-0101-01-01,PTNTFM5480,음성-PTS-0703-01-01,S8-P38,R02494,NTT
12715,8703924,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBUSB0002    ,True,R02494,0,True,4724200,0,CBUSP0267    ,CB소이우체국-PTS-0101-01-01,PTNTFM5480,음성-PTS-0703-01-01,S8-P38,R02494,NTT
12716,8703927,2021-06-14 18:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0076    ,True,R02475,0,True,4771911,0,CBYDP0200    ,CB추풍령우체국-PTS-0101-01-01,PTNTFM3064,황간R1-PTS-0101-01-01,S3-P3,R02475,NTT
12717,8703927,2021-06-14 18:00,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0076    ,True,R02475,0,True,4771911,0,CBYDP0200    ,CB추풍령우체국-PTS-0101-01-01,PTNTFM3064,황간R1-PTS-0101-01-01,S3-P3,R02475,NTT
12718,8703933,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0114    ,True,R02267,0,True,4730265,0,CNSCB0510    ,시초우체국통신실-PTS-0101-01-01,PTNTFM3064,문산R1-PTS-0102-03-01,S3-P1,R02267,NTT
12719,8703933,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0114    ,True,R02267,0,True,4730265,0,CNSCB0510    ,시초우체국통신실-PTS-0101-01-01,PTNTFM3064,문산R1-PTS-0102-03-01,S3-P1,R02267,NTT
12720,8703946,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0136    ,True,R02217,0,True,4730402,0,CNBYB0185    ,CN내산우체국-PTS-0101-01-01,PTNTFM3064,내산R3-PTS-0207-03-01,S4-P1,R02217,NTT
12721,8703946,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0136    ,True,R02217,0,True,4730402,0,CNBYB0185    ,CN내산우체국-PTS-0101-01-01,PTNTFM3064,내산R3-PTS-0207-03-01,S4-P1,R02217,NTT
12722,8703951,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0001    ,True,R02524,0,True,4799792,0,CBJNP0275    ,CB백곡우체국-PTS-0101-01-01,PTNTFM5480,진천-PTS-0504-01-01,S8-P35,R02524,NTT
12723,8703951,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0001    ,True,R02524,0,True,4799792,0,CBJNP0275    ,CB백곡우체국-PTS-0101-01-01,PTNTFM5480,진천-PTS-0504-01-01,S8-P35,R02524,NTT
12724,8703952,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0222    ,True,R02178,0,True,4766434,0,CNGJB2408    ,신풍우체국지상_1-PTS-0101-01-01,PTNTFM5480,유구-PTS-0207-01-01,S8-P39,R02178,NTT
12725,8703952,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0222    ,True,R02178,0,True,4766434,0,CNGJB2408    ,신풍우체국지상_1-PTS-0101-01-01,PTNTFM5480,유구-PTS-0207-01-01,S8-P39,R02178,NTT
12726,8703957,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0093    ,True,R02524,0,True,4800712,0,CBJNP0276    ,CB문백우체국-PTS-0101-01-01,PTNTFM3064,문백R1-PTS-0103-01-01,S4-P12,R02524,NTT
12727,8703957,2021-06-14 18:01,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0093    ,True,R02524,0,True,4800712,0,CBJNP0276    ,CB문백우체국-PTS-0101-01-01,PTNTFM3064,문백R1-PTS-0103-01-01,S4-P12,R02524,NTT
12728,8703973,2021-06-14 18:03,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBYDB0076    ,True,R02475,0,False,0,0,0,0,PTNTFM3064,황간R1-PTS-0101-01-01,MBU,0,NTT
12729,8703980,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0117    ,True,R02267,0,True,4730262,0,CNSCB0506    ,화양우체국통신실-PTS-0101-01-01,PTNTFM5480,서천-PTS-0110-01-01,S8-P37,R02267,NTT
12730,8703980,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNSCB0117    ,True,R02267,0,True,4730262,0,CNSCB0506    ,화양우체국통신실-PTS-0101-01-01,PTNTFM5480,서천-PTS-0110-01-01,S8-P37,R02267,NTT
12731,8703988,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0101    ,True,R02524,0,True,4800707,0,CBJNP0274    ,CB초평우체국-PTS-0101-01-01,PTNTFM3064,초평R1-PTS-0206-01-01,S3-P12,R02524,NTT
12732,8703988,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0101    ,True,R02524,0,True,4800707,0,CBJNP0274    ,CB초평우체국-PTS-0101-01-01,PTNTFM3064,초평R1-PTS-0206-01-01,S3-P12,R02524,NTT
12733,8703996,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0145    ,True,R02217,0,True,4730436,0,CNBYB0190    ,부여양화우체국-PTS-0101-01-01,PTNTFM3064,입포R1-PTS-0205-08-01,S4-P1,R02217,NTT
12734,8703996,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0145    ,True,R02217,0,True,4730436,0,CNBYB0190    ,부여양화우체국-PTS-0101-01-01,PTNTFM3064,입포R1-PTS-0205-08-01,S4-P1,R02217,NTT
12735,8703999,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0001    ,True,R02251,0,True,4725584,0,CNYSP0198    ,예산신양우체국-PTS-0101-01-01,PTNTFM5480,예산-PTS-0914-01-01,S7-P36,R02251,NTT
12736,8703999,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNYSB0001    ,True,R02251,0,True,4725584,0,CNYSP0198    ,예산신양우체국-PTS-0101-01-01,PTNTFM5480,예산-PTS-0914-01-01,S7-P36,R02251,NTT
12737,8704009,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0185    ,True,R02153,0,True,4771789,0,CNGJB1248    ,의당우체국사무실-PTS-0101-01-01,PTNTFM3064,의당R1-PTS-0101-01-01,S3-P1,R02153,NTT
12738,8704009,2021-06-14 18:02,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNGJB0185    ,True,R02153,0,True,4771789,0,CNGJB1248    ,의당우체국사무실-PTS-0101-01-01,PTNTFM3064,의당R1-PTS-0101-01-01,S3-P1,R02153,NTT
12739,8704016,2021-06-14 18:03,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0093    ,True,R02524,0,False,0,0,0,0,PTNTFM3064,문백R1-PTS-0103-01-01,MBU,0,NTT
12740,8704017,2021-06-14 18:03,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0142    ,True,R02217,0,False,0,0,0,0,PTNTFM3064,외산R1-PTS-0205-04-01,MBU,0,NTT
12741,8704019,2021-06-14 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBCGB0182    ,True,R02414,0,True,4754303,0,CBCGP0071    ,CB앙성우체-PTS-0101-01-01,PTNTFM3064,앙성R1-PTS-0303-02-01,S4-P12,R02414,NTT
12742,8704019,2021-06-14 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBCGB0182    ,True,R02414,0,True,4754303,0,CBCGP0071    ,CB앙성우체-PTS-0101-01-01,PTNTFM3064,앙성R1-PTS-0303-02-01,S4-P12,R02414,NTT
12743,8704021,2021-06-14 18:03,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNBYB0136    ,True,R02217,0,False,0,0,0,0,PTNTFM3064,내산R3-PTS-0207-03-01,MBU,0,NTT
12744,8704024,2021-06-14 18:03,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CBJNB0001    ,True,R02524,0,False,0,0,0,0,PTNTFM5480,진천-PTS-0504-01-01,MCUB,0,NTT
12745,8704028,2021-06-14 18:03,FM,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_TF,PowerFail,CNCYB0001    ,True,R02304,0,True,4724064,0,CNCYB0031    ,청양대치우체국-PTS-0101-01-01,PTNTFM5480,청양-PTS-0605-01-01,S7-P37,R02304,NTT
