제목,URL,다시 읽기,메모,분류
alibi-detect,https://docs.seldon.io/projects/alibi-detect/en/stable/overview/getting_started.html,No,"alibi-detect, seldon과 잘 합쳐진다고 함","MLOps, Serving"
Production Level Deep Learning,https://github.com/alirezadir/Production-Level-Deep-Learning,No,,MLOps
THE 7 QUESTIONS YOU NEED TO ASK TO OPERATE DEEP LEARNING INFRASTRUCTURE AT SCALE,https://jameskle.com/writes/deep-learning-infrastructure-tooling,No,,MLOps
GNN Paper,https://github.com/thunlp/GNNPapers,No,,Graph
Awesome Graph Classification,https://github.com/benedekrozemberczki/awesome-graph-classification,No,,Graph
"Robust Optimization, Distributional Robustness, and their Statistical Friends",https://ima.umn.edu/materials/2018-2019/W6.18-21.19/27931/ima-2019-workshop.pdf,No,,Robust Optimization
"Machine Learning and Robust Optimization, Fengqi You, Cornell University 강의",https://www.youtube.com/watch?v=7eQpuBVeCiQ,No,,Robust Optimization
"ipywidget - tab, button",https://medium.com/@jdchipox/how-to-interact-with-jupyter-33a98686f24e,No,,"Data Analysis, Python"
JuMPer - Julia Robust Optimization,https://github.com/IainNZ/JuMPeR.jl,No,,"Julia, Robust Optimization"
Robust Optimization EV Charging,https://github.com/nkorolko/Robust_Optimization_EV_Charging,No,,"Julia, Robust Optimization"
How to get started with machine learning on graphs,https://medium.com/octavian-ai/how-to-get-started-with-machine-learning-on-graphs-7f0795c83763,No,,Graph
Advent of code: SQL + BigQuery,https://towardsdatascience.com/advent-of-code-sql-bigquery-31e6a04964d4,No,,BigQuery
Distribution Explorer,http://bois.caltech.edu/distribution_explorer/index.html,No,,"Data Visualization, Distribution"
Assigning Fastest Pick-Ups to Uber Drivers with Linear Programming,https://towardsdatascience.com/assigning-fastest-pick-ups-to-uber-drivers-with-linear-programming-8f8bd3c44c9a,No,,Optimization
AzureML,https://drive.google.com/file/d/13PeCaO7iu5Aeun1Irk_lGtDH920ask2L/view,No,,Machine Learning
좋은 부사수란?,https://brunch.co.kr/@brandbooster/58,No,,성장
parmap을 활용한 멀티프로세싱,https://dailyheumsi.tistory.com/105,No,,Development
Detecting outliers using the Mahalanobis distance with PCA in Python,https://nirpyresearch.com/detecting-outliers-using-mahalanobis-distance-pca-python/,No,,Anomaly Detection
CEO를 위한 운영 및 내부 커뮤니케이션 전략,https://news.hada.io/topic?id=1156,No,,Communication
Partition on any field with BigQuery,https://medium.com/google-cloud/partition-on-any-field-with-bigquery-840f8aa1aaab,No,,BigQuery
"Airflow: Lesser Known Tips, Tricks, and Best Practises",https://medium.com/datareply/airflow-lesser-known-tips-tricks-and-best-practises-cf4d4a90f8f,No,,"Data Engineering, MLOps"
JuliaOpt - Solving Sudoku,http://www.juliaopt.org/notebooks/JuMP-Sudoku.html,No,,"Julia, Optimization"
Airflow에서 Jupyter Notebook 실행(Papermill),https://airflow.readthedocs.io/en/latest/howto/operator/papermill.html,No,,"Data Engineering, MLOps"
voila(Jupyter Notebook to Web Application),https://github.com/voila-dashboards/voila,No,,Data Visualization
Pandas profiling,https://github.com/pandas-profiling/pandas-profiling,No,Create HTML profiling reports from pandas DataFrame objects,MLOps
OAuth + JupyterHub Authenticator = OAuthenticator,https://github.com/jupyterhub/oauthenticator,No,,MLOps
Pandas Dataframe 이쁘게 만들기,https://towardsdatascience.com/style-pandas-dataframe-like-a-master-6b02bf6468b0,No,,Data Visualization
papermill(Notebook 실행),https://github.com/nteract/papermill,No,,MLOps
Airflow Contents,https://github.com/jghoman/awesome-apache-airflow,No,,"Data Engineering, MLOps"
Lyft의 Airflow 활용,https://www.slideshare.net/taofung/airflow-at-lyft,No,,"Data Engineering, MLOps"
